,ID,Venue,T1_Mat,T1_AvgRunsScored/Over,T1_AvgRunsConceded/Over,T1_Avg_Wkts_Taken,T1_Avg_Wkts_Lost,T1_Bound,T1_W/L,T2_Mat,T2_AvgRunsScored/Over,T2_AvgRunsConceded/Over,T2_Avg_Wkts_Taken,T2_Avg_Wkts_Lost,T2_Bound,T2_W/L,T1_Twitter_Vol,T2_Twitter_Vol,T1_Fans_Sent,T2_Fans_Sent,T1_Fans_Pred,T2_Fans_Pred,Winner
0,454,Oceania,158,7.94,7.71,0.33,0.33,0.98,1.135,144,7.65,7.86,0.32,0.34,0.94,0.972,0.703282828,0.296717172,0.568181818,0.271464646,0.833333333,0.166666667,0
1,455,Oceania,161,8.01,7.84,0.31,0.27,1.01,1.824,169,7.31,7.5,0.31,0.33,0.88,1.38,0.6572444,0.3427556,0.577568394,0.310025622,0.685878963,0.314121037,1
2,456,Oceania,159,7.93,7.73,0.32,0.33,0.98,1.12,149,7.08,7.86,0.28,0.36,0.84,0.732,0.825822168,0.174177832,0.565164434,0.149817296,1,0,1
3,457,Oceania,145,7.78,7.87,0.33,0.3,0.95,1.23,99,6.72,8,0.27,0.38,0.79,0.285,0.595041322,0.404958678,0.483471074,0.330578512,0,0,1
4,458,Oceania,145,7.66,7.85,0.32,0.34,0.94,0.986,150,7.08,7.87,0.28,0.36,0.84,0.724,0.68591224,0.31408776,0.644341801,0.25404157,0,1,1
5,459,Oceania,162,8.01,7.83,0.31,0.27,1.01,1.842,146,7.79,7.85,0.33,0.3,0.96,1.246,0.933538732,0.066461268,0.835607394,0.049955986,0.985074627,0.014925373,0
6,460,Oceania,154,8.02,8.1,0.31,0.33,1.04,1.231,146,7.66,7.84,0.32,0.34,0.94,1,0.81011236,0.18988764,0.603370787,0.157303371,1,0,1
7,461,Oceania,163,8,7.83,0.31,0.27,1.01,1.81,100,6.71,8.02,0.27,0.38,0.79,0.282,0.924673893,0.075326107,0.832629065,0.066323719,0.888888889,0.111111111,1
8,462,Oceania,170,7.31,7.5,0.31,0.33,0.88,1.361,147,7.78,7.84,0.33,0.3,0.96,1.261,0.739512855,0.260487145,0.549391069,0.195534506,0.896551724,0.103448276,1
9,463,Oceania,155,8.03,8.1,0.31,0.33,1.04,1.246,152,7.07,7.87,0.28,0.36,0.84,0.727,0.86855092,0.13144908,0.634813818,0.10722297,0.948717949,0.051282051,1
10,464,Oceania,171,7.32,7.5,0.31,0.33,0.88,1.375,101,6.73,8.03,0.27,0.38,0.8,0.278,0.893036612,0.106963388,0.712849964,0.090452261,0.75,0.25,1
11,465,Oceania,172,7.32,7.49,0.31,0.33,0.88,1.388,147,7.66,7.84,0.32,0.34,0.94,0.986,0.728649612,0.271350388,0.649993636,0.246786305,0.860962567,0.139037433,1
12,466,Oceania,164,8,7.83,0.31,0.27,1.01,1.827,156,8.02,8.09,0.31,0.33,1.03,1.26,0.796250617,0.203749383,0.768048018,0.109110344,0.908783784,0.091216216,0
13,468,Oceania,173,7.32,7.49,0.31,0.33,0.88,1.402,157,8.03,8.09,0.31,0.33,1.04,1.275,0.455609989,0.544390011,0.358704744,0.408531485,0.440860215,0.559139785,0
